"all_themes","organization_org_state","measure","amount","short_label"
"theme4","WV","Funding",0.15984,"Pediatrics"
"theme4","ZZ","Awards",23,"Pediatrics"
"theme4","ZZ","Funding",7.896205,"Pediatrics"
"theme5","AL","Awards",9,"Pharmacology"
"theme5","AL","Funding",6.952352,"Pharmacology"
"theme5","AR","Awards",3,"Pharmacology"
"theme5","AR","Funding",1.169864,"Pharmacology"
"theme5","AZ","Awards",2,"Pharmacology"
"theme5","AZ","Funding",1.799232,"Pharmacology"
"theme5","CA","Awards",39,"Pharmacology"
"theme5","CA","Funding",24.525559,"Pharmacology"
"theme5","CO","Awards",6,"Pharmacology"
"theme5","CO","Funding",3.023757,"Pharmacology"
"theme5","CT","Awards",7,"Pharmacology"
"theme5","CT","Funding",3.389824,"Pharmacology"
"theme5","DC","Awards",5,"Pharmacology"
"theme5","DC","Funding",9.216026,"Pharmacology"
"theme5","FL","Awards",4,"Pharmacology"
"theme5","FL","Funding",2.372814,"Pharmacology"
"theme5","GA","Awards",1,"Pharmacology"
"theme5","GA","Funding",0.567763,"Pharmacology"
"theme5","IL","Awards",3,"Pharmacology"
"theme5","IL","Funding",5.53992,"Pharmacology"
"theme5","IN","Awards",5,"Pharmacology"
"theme5","IN","Funding",7.810001,"Pharmacology"
"theme5","KS","Awards",2,"Pharmacology"
"theme5","KS","Funding",0.779117,"Pharmacology"
"theme5","KY","Awards",1,"Pharmacology"
"theme5","KY","Funding",0.221268,"Pharmacology"
"theme5","LA","Awards",4,"Pharmacology"
"theme5","LA","Funding",5.356119,"Pharmacology"
"theme5","MA","Awards",26,"Pharmacology"
"theme5","MA","Funding",20.411197,"Pharmacology"
"theme5","MD","Awards",17,"Pharmacology"
"theme5","MD","Funding",10.425162,"Pharmacology"
"theme5","MI","Awards",7,"Pharmacology"
"theme5","MI","Funding",3.493934,"Pharmacology"
"theme5","MN","Awards",8,"Pharmacology"
"theme5","MN","Funding",4.302189,"Pharmacology"
"theme5","MO","Awards",13,"Pharmacology"
"theme5","MO","Funding",8.018217,"Pharmacology"
"theme5","MT","Awards",1,"Pharmacology"
"theme5","MT","Funding",0.727781,"Pharmacology"
"theme5","NC","Awards",21,"Pharmacology"
"theme5","NC","Funding",10.828952,"Pharmacology"
"theme5","NE","Awards",3,"Pharmacology"
"theme5","NE","Funding",1.493009,"Pharmacology"
"theme5","NJ","Awards",8,"Pharmacology"
"theme5","NJ","Funding",6.840049,"Pharmacology"
"theme5","NM","Awards",1,"Pharmacology"
"theme5","NM","Funding",0.222694,"Pharmacology"
"theme5","NV","Awards",1,"Pharmacology"
"theme5","NV","Funding",0.18375,"Pharmacology"
"theme5","NY","Awards",16,"Pharmacology"
"theme5","NY","Funding",16.264434,"Pharmacology"
"theme5","OH","Awards",16,"Pharmacology"
"theme5","OH","Funding",7.619533,"Pharmacology"
"theme5","OK","Awards",1,"Pharmacology"
"theme5","OK","Funding",0.64153,"Pharmacology"
"theme5","OR","Awards",10,"Pharmacology"
"theme5","OR","Funding",5.997199,"Pharmacology"
"theme5","PA","Awards",18,"Pharmacology"
"theme5","PA","Funding",11.278905,"Pharmacology"
"theme5","SC","Awards",1,"Pharmacology"
"theme5","SC","Funding",0.309251,"Pharmacology"
"theme5","TN","Awards",3,"Pharmacology"
"theme5","TN","Funding",1.972799,"Pharmacology"
"theme5","TX","Awards",18,"Pharmacology"
"theme5","TX","Funding",9.454959,"Pharmacology"
"theme5","UT","Awards",6,"Pharmacology"
"theme5","UT","Funding",1.405452,"Pharmacology"
"theme5","VA","Awards",3,"Pharmacology"
"theme5","VA","Funding",1.184173,"Pharmacology"
"theme5","WA","Awards",21,"Pharmacology"
"theme5","WA","Funding",12.926096,"Pharmacology"
"theme5","WI","Awards",2,"Pharmacology"
"theme5","WI","Funding",0.823521,"Pharmacology"
"theme5","ZZ","Awards",3,"Pharmacology"
"theme5","ZZ","Funding",1.78384,"Pharmacology"
"unclassified","CA","Awards",2,"Unclassified"
"unclassified","CA","Funding",0.559676,"Unclassified"
"unclassified","MD","Awards",2,"Unclassified"
"unclassified","MD","Funding",1.586591,"Unclassified"
"unclassified","MI","Awards",1,"Unclassified"
"unclassified","MI","Funding",0.150217,"Unclassified"
"unclassified","WI","Awards",1,"Unclassified"
"unclassified","WI","Funding",1.872482,"Unclassified"
